,Unnamed: 0,start_station_id,start_station_name,start_station_latitude,start_station_longitude,amout_of_trips_per_station
84,74279,92,UMass Boston Integrated Sciences Complex,42.3139036,-71.0405121,1065
85,48178,93,JFK / UMASS at MBTA Station,42.320494,-71.051122,1543
86,29428,94,Main St at Austin St,42.375603,-71.064608,5526
87,46654,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,11471
88,129420,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,10049
89,71524,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,9841
90,79185,98,Charlestown - Warren St at Chelsea St,42.371848,-71.060292,11410
91,7059,99,Wilson Square,42.385582,-71.113341,3530
92,98230,100,Davis Square,42.396969,-71.123024,10470
93,18210,102,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,2283
94,95192,103,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,3221
95,154343,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,6411
96,7090,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.357218503176526,-71.1138716340065,12290
97,113720,106,Mt Pleasant Ave / Dudley Town Common,42.325333,-71.075354,513
98,2088,107,Ames St at Main St,42.3625,-71.08822,14424
99,682,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,8604
100,157918,109,TD Garden - West End Park,42.36588481543564,-71.06454849243164,12833
101,18346,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,9486
102,10196,111,Packard Ave / Powderhouse Blvd,42.40449,-71.123413,1710
103,10797,112,Somerville Hospital at Highland Ave / Crocker St,42.39082,-71.10942,1372
104,47302,113,Andrew Station - Dorchester Ave at Humboldt Pl,42.330716,-71.057044,2455
105,96251,114,Teele Square at 239 Holland St,42.402763,-71.126908,3234
106,8621,115,Porter Square Station,42.387995,-71.119084,10232
107,2516,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,9713
108,60217,117,Binney St / Sixth St,42.366095,-71.086388,7159
109,5368,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,5538
110,85581,119,South Boston Library - 646 East Broadway,42.335741,-71.03877,4030
111,31311,120,Charles St at Beacon St,42.356052,-71.069849,8833
112,6639,121,W Broadway at Dorchester St,42.335693,-71.045859,4866
113,129981,122,BIDMC - Brookline at Burlington St,42.345733,-71.100694,3611
114,142273,124,Curtis Hall at South Street,42.309054,-71.11543,2461
115,118465,125,Hyde Square at Barbara St,42.320998,-71.110833,2657
116,257,126,Egleston Square at Columbus Ave,42.315692,-71.098634,1055
117,79396,128,E. Cottage St at Columbia Rd,42.320561,-71.06198,1047
118,159929,129,Hayes Square at Vine St.,42.377022,-71.056605,2484
119,75225,130,Upham's Corner - Columbia Rd,42.31756858003556,-71.06403708501603,726
120,24874,131,Jackson Square T at Centre St,42.322701,-71.099533,3729
121,158949,133,Green St T,42.310579,-71.107341,2843
122,85820,134,New Balance Store - Boylston at Dartmouth,42.350413,-71.07655,5992
123,109842,135,ID Building East,42.344827,-71.028664,3427
124,18115,136,ID Building West,42.344796,-71.031614,4392
125,147709,137,Magoun Square at Trum Field,42.398365,-71.107818,1616
126,37211,138,Mass Ave at Newmarket Square,42.326599,-71.066498,935
127,80875,139,Dana Park,42.361589,-71.107437,6161
128,71940,140,Danehy Park,42.388966,-71.132788,2908
129,10570,141,Kendall Street,42.36356015842989,-71.08216792345047,6640
130,116577,142,Alewife Station at Russell Field,42.396105,-71.139459,3145
131,35356,143,EF - North Point Park,42.369885,-71.069957,6305
132,135685,145,Rindge Avenue - O'Neill Library,42.392766,-71.129042,1888
133,74246,146,Day Boulevard,42.336448,-71.023739,3040
134,163258,149,Harvard University Transportation Services - 175 North Harvard St,42.363796,-71.129164,6279
135,20994,150,State Street at Channel Center,42.344137,-71.052608,5170
136,124874,151,John F Fitzgerald - Surface Road at India Street,42.358155,-71.052163,7602
137,66370,152,Ink Block,42.345901,-71.063187,6514
138,152416,153,8D OPS 03,42.3601,-71.0589,0
139,152565,158,8D OPS 01,42.3601,-71.0589,0
140,3028,159,Heath St at South Huntington,42.32797270205962,-71.11089706420898,1745
141,109141,160,Wentworth Institute of Technology,42.337596,-71.096391,4685
142,72517,161,West Broadway at D Street,42.3391085,-71.0514432,5050
143,74123,162,Franklin Park - Seaver Street at Humbolt Ave,42.309796,-71.092225,397
144,85832,163,Lawn on D,42.344792,-71.044024,4974
145,149481,167,Ryan Playground - Dorchester Avenue Station,42.317642,-71.056664,1081
146,17826,169,Edwards Playground - Main Street & Eden Street,42.378965,-71.068607,2872
147,63513,170,Franklin Park Zoo,42.303469,-71.085347,440
148,53123,171,Bunker Hill Community College,42.37408991426522,-71.06905996799469,2417
149,25764,173,Savin Hill MBTA Station,42.310599,-71.053927,507
150,95299,174,Washington St at Brock St,42.34900494405213,-71.1604106426239,1054
151,124454,175,Brighton Center,42.34894857235593,-71.15027189254761,1998
152,30831,176,Lesley University,42.38674802045056,-71.11901879310608,3321
153,173460,177,University Park,42.36264779118595,-71.10006093978882,11758
154,70599,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,15227
155,37998,179,MIT Vassar St,42.35560121327927,-71.10394477844238,17488
156,132188,180,Mt Auburn,42.37478628706384,-71.13320231437683,2410
157,7336,183,Alewife MBTA at Steel Place,42.39558845716709,-71.14260613918304,408
158,26570,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960632,782
159,26535,185,Third at Binney,42.36544486137399,-71.08277142047882,565
160,52785,186,Congress St and Northern Ave,42.3482032222746,-71.0376513004303,4711
161,49976,189,Kendall T,42.3624278429124,-71.08495473861694,18004
162,25424,190,Nashua Street at Red Auerbach Way,42.36559770612416,-71.06424808502197,8932
163,14546,192,Purchase St at Pearl St,42.354686,-71.053292,5244
164,22997,193,Brookline Village - Station Street @ MBTA,42.33289074055233,-71.11658334732056,3085
165,85022,194,Broadway St at Mt Pleasant St,42.38614141163957,-71.07828140258789,1344
166,54678,195,Brian P. Murphy Staircase at Child Street,42.3720597013741,-71.07202649116516,1064
167,10923,196,Roxbury YMCA - Warren St at MLK Blvd,42.31787329345602,-71.08243077993393,294
168,102560,197,MLK Blvd at Washington St,42.321678,-71.091822,244
169,122623,199,Upham's Corner T Stop,42.31884382360106,-71.06975734233856,140
170,163226,200,Washington St at Melnea Cass Blvd,42.33282815812448,-71.08126938343048,671
171,55195,201,Walnut Ave at Crawford St,42.316873,-71.091955,197
172,13181,202,Grove Hall Library,42.308035,-71.081159,112
173,157602,203,Columbia Rd at Ceylon St,42.309566,-71.072863,61
174,92943,204,Walnut Ave at Warren St,42.324069,-71.083162,77
175,85593,205,Bowdoin St at Quincy St,42.30791912678712,-71.06502056121826,78
176,12572,207,Market St at Faneuil St,42.35480179069945,-71.15025043487549,185
177,26226,208,Oak Square - 615 Washington St,42.35057,-71.166491,197
178,34444,209,Chelsea St at Saratoga St,42.37980321246644,-71.02744817733765,32
179,12748,210,Bennington St at Byron St,42.38337841883669,-71.01612031481636,45
180,1854,211,Piers Park- Marginal St at East Boston Shipyard,42.36489045541549,-71.0350424052376,83
181,154991,212,Maverick Sq - Lewis Mall,42.3688385713652,-71.03976666949166,179
182,48829,213,EBNHC - 20 Maverick Sq,42.369562869377,-71.03942692279814,99
183,51947,214,Airport T Stop - Bremen St at Brooks St,42.37536686015489,-71.03135883808136,167
184,29748,215,The Eddy at New Street,42.37078454600501,-71.04426160454749,45
185,72713,216,Glendon St at Condor St,42.38244736415864,-71.0302323102951,43
186,71084,217,Orient Heights T Stop - Bennington St at Saratoga St,42.38673178529929,-71.00621223455164,71
187,30227,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,1414
188,83314,219,Central Square East Boston - Porter Street at London Street,42.37430131617823,-71.03808671246952,23
